name,team,imageUrl,overallAvg,basesEmptyAvg,runner1Avg,runner2Avg,runner3Avg,runner12Avg,runner13Avg,runner23Avg,basesLoadedAvg
김도환,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69442.jpg,0.286,,,,,,,,
이병헌,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69428.jpg,0.200,0.152,0.273,0.000,,0.000,0.500,0.000,0.500
김재성,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/65132.jpg,0.127,0.103,0.222,0.000,0.000,0.000,0.000,0.667,0.000
박진우,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53411.jpg,0.000,,,,,,,,
전병우,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/65586.jpg,0.273,0.238,0.214,0.143,1.000,0.333,0.667,,0.500
양도근,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54408.jpg,0.259,0.242,0.353,0.182,0.000,0.231,0.200,0.500,0.200
안주형,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66406.jpg,0.235,,,,,,,,
이창용,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51407.jpg,0.200,0.286,0.000,,1.000,0.000,,0.000,0.000
이해승,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69416.jpg,0.200,,,,,,,,
박병호,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/75125.jpg,0.199,0.238,0.079,0.333,0.000,0.077,0.286,0.000,0.250
양우현,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69403.jpg,0.188,0.000,0.250,0.333,,0.000,0.500,,0.000
심재훈,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55438.jpg,0.184,0.095,0.375,0.000,,0.500,0.000,,0.500
차승준,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55435.jpg,0.000,,,,,,,,
